App,Version,Package,AndroidVersion,minSdkVersion,Landroid/app/job/JobInfo/Builder;->build,Lcom/google/android/gms/gcm/PeriodicTask/Builder;->build,Lcom/google/android/gms/gcm/OneoffTask/Builder;->build,Landroid/app/AlarmManager;->setWindow,Landroid/app/AlarmManager;->setExact,Landroid/app/AlarmManager;->setExactAndAllowWhileIdle,Landroid/app/AlarmManager;->setInexactRepeating,Landroid/app/AlarmManager;->setRepeating,Landroid/app/AlarmManager;->set,Landroid/app/AlarmManager;->setAndAllowWhileIdle,Landroid/app/AlarmManager;->setAlarmClock,Landroid/os/Handler;->post,Landroid/os/Handler;->postDelayed,Landroid/os/Handler;->sendEmptyMessage,Landroid/os/Handler;->sendMessage,Landroid/os/Handler;->sendMessageAtTime,Landroid/os/Handler;->sendMessageDelayed
aboard.and.koabacus,1.0,aboard.and.koabacus,15,7,0,0,0,0,0,0,0,0,0,0,0,91,26,47,73,0,13
air.cn.kx.wg.empirecraft,2.1.1,air.cn.kx.wg.empirecraft,,8,0,0,0,0,0,0,0,0,0,0,0,32,12,9,5,0,4
air.com.tangerinepop.JewelionAndroid,1.6.2,air.com.tangerinepop.JewelionAndroid,,8,0,0,0,0,0,0,1,0,1,0,0,39,10,3,14,0,10
at.himmelsgarten.sananda,1.1.2,at.himmelsgarten.sananda,,14,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0
biz.app4mobile.app_0051b18ffe094777820b10b1e856657c.app,1.9.35.558,biz.app4mobile.app_0051b18ffe094777820b10b1e856657c.app,,8,0,0,0,0,0,0,0,0,1,0,0,28,17,6,1,0,0
br.com.restauranteweb_santo_antonio_botequim,3.0,br.com.restauranteweb_santo_antonio_botequim,,8,0,0,0,0,0,0,0,0,1,0,0,37,8,6,12,0,18
ch.defiant.purplesky,1.1.6,ch.defiant.purplesky,21,9,0,0,0,0,0,0,1,0,0,0,0,51,8,11,20,0,13
cn.mozilla.firefox,36.0,cn.mozilla.firefox,,9,0,0,0,0,0,0,2,0,4,0,0,29,21,8,15,0,1
com.a13869104165029c4ad3060a4a.a89056896a,1.03,com.a13869104165029c4ad3060a4a.a89056896a,,8,0,0,0,0,0,0,0,0,1,0,0,38,16,3,1,0,11
com.a185884755750246579034494a.a37574876a,1.01,com.a185884755750246579034494a.a37574876a,,8,0,0,0,0,0,0,0,0,1,0,0,27,13,3,1,0,13
com.a195677026450cb3406a3bd80a.a95471635a,1.01,com.a195677026450cb3406a3bd80a.a95471635a,,8,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1
com.a362289189513de98cc44118a.a85873880a,1.01,com.a362289189513de98cc44118a.a85873880a,,8,0,0,0,0,0,0,1,0,1,0,0,42,16,9,1,0,11
com.acm.droid.postonline,1.3.11.0,com.acm.droid.postonline,19,10,0,0,0,0,0,0,1,1,5,0,0,72,30,41,51,0,15
com.airkast.tunekast1245_112,5.0.3.8,com.airkast.tunekast1245_112,,10,0,0,0,0,0,0,0,0,1,0,0,144,68,13,30,0,38
com.airkast.WHTTFM,5.0.11.15,com.airkast.WHTTFM,,10,0,0,0,0,0,0,0,0,1,0,0,147,71,13,28,0,25
com.airkast.WWYYFM,5.0.6.10,com.airkast.WWYYFM,,10,0,0,0,0,0,0,0,0,1,0,0,144,68,13,30,0,38
com.AkMyCompany.cameraPlugin,1.3.1,com.AkMyCompany.cameraPlugin,,8,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0
com.alicanteinfo.app,1.7.5,com.alicanteinfo.app,,9,0,0,0,0,0,0,0,0,0,0,0,35,7,9,16,0,2
com.andromeda.sangsangnplayground,4.0a,com.andromeda.sangsangnplayground,,8,0,0,0,0,0,0,0,0,1,0,0,19,5,182,12,0,0
com.andromo.dev274283.app265143,1.0,com.andromo.dev274283.app265143,,7,0,0,0,0,0,0,0,0,0,0,0,31,14,4,3,0,1
com.andromo.dev285170.app270294,2.0.3,com.andromo.dev285170.app270294,,10,0,0,0,0,0,0,0,0,0,0,0,47,17,7,8,0,5
com.app.supp.busuikusei,1.0.6,com.app.supp.busuikusei,,9,0,0,0,0,0,0,0,0,1,0,0,20,3,12,5,0,6
com.app4mob.annuaire,1.0.1,com.app4mob.annuaire,,9,0,0,0,0,0,0,0,0,1,0,0,47,19,8,11,0,27
com.appbuilder.u137889p408141,2.6,com.appbuilder.u137889p408141,,8,0,0,0,0,0,0,0,0,1,0,0,8,46,302,4,0,1
com.appbuilder.u422311p879066,1,com.appbuilder.u422311p879066,,8,0,0,0,0,0,0,0,0,1,0,0,5,35,161,2,0,9
com.appbuilder.u97p697596,3,com.appbuilder.u97p697596,,8,0,0,0,0,0,0,0,0,1,0,0,8,27,137,11,0,10
com.appmakr.app408317,2,com.appmakr.app408317,,7,0,0,0,0,0,0,0,0,0,0,0,4,6,4,6,0,10
com.appmkliou.book.AOTJHCGQOTIJIOAO,1.5,com.appmk.book.main,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.appypie.appypiedf6642c6d79c,2.0,com.appypie.appypiedf6642c6d79c,,8,0,0,0,0,0,0,0,0,1,0,0,9,7,6,3,0,4
com.aqvin.jockeydash,2.012,com.aqvin.jockeydash,,9,0,0,0,0,0,0,0,0,0,0,0,50,26,6,10,0,16
com.AsteroGames.DeadCrisis,2.0,com.AsteroGames.DeadCrisis,,9,0,0,0,0,0,0,0,0,1,0,0,19,6,0,0,0,0
com.avermedia.gamemate,1.0.25,com.avermedia.gamemate,,14,0,0,0,0,0,0,0,0,0,0,0,9,2,3,2,0,0
com.avishkarsoftware.guesstheanimal,3.0,com.avishkarsoftware.guesstheanimal,,11,0,0,0,0,0,0,0,0,0,0,0,88,25,22,30,0,37
com.awindinc.mobishow,1.0.6.3,com.awindinc.mobishow,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
com.bestofapps.zombieassault,2.6,com.bestofapps.zombieassault,,6,0,0,0,0,0,0,0,0,0,0,0,31,17,0,0,0,0
com.bh.superflashcard.ielts.android,4.3.0,com.bh.superflashcard.ielts.android,,8,0,0,0,0,0,0,0,0,1,0,0,27,8,6,2,0,8
com.binaryideas.hupyandabraham,1.9.1,com.binaryideas.hupyandabraham,21,9,0,0,0,0,0,0,1,0,2,0,0,62,14,20,19,0,17
com.BlackAngel.Memory.Egypt,2.5.0,com.BlackAngel.Memory.Egypt,,4,0,0,0,0,0,0,0,0,0,0,0,27,16,0,0,0,16
com.BlitzblasterSoftware.AreaBreak2,1.7,com.BlitzblasterSoftware.AreaBreak2,,9,0,0,0,0,0,0,0,0,0,0,0,44,18,0,10,0,10
com.boyaa.mj13,1.0.2,com.boyaa.mj13,,7,0,0,0,0,0,0,0,0,0,0,0,21,0,9,12,0,0
com.CKSystems.MetalDetectorNixie,v2.0,com.CKSystems.MetalDetectorNixie,21,11,0,0,0,0,0,0,0,0,1,0,0,55,13,0,11,0,11
com.cmcbroadcasting.id_2872,4.16.1.1,com.cmcbroadcasting.id_2872,21,14,0,0,0,0,0,0,1,1,2,0,0,197,87,20,25,0,18
com.codeaddictsofcseku.islamicradio,1.0.45,com.codeaddictsofcseku.islamicradio,,9,0,0,0,0,0,0,0,0,0,0,0,27,2,6,6,0,6
com.colorworkapps.sleeptightnightlight,1.4.1.G,com.colorworkapps.sleeptightnightlight,,9,0,0,0,0,0,0,0,0,1,0,0,50,17,7,16,0,15
com.cortinaproductions.rrplpublic,1.0,com.cortinaproductions.rrplpublic,,9,0,0,0,0,0,0,0,0,1,0,0,13,81,3,1,0,0
com.crowdcompass.appXo5FMWm3sY,android-release-v3.29,com.crowdcompass.appXo5FMWm3sY,21,15,0,0,0,0,0,0,0,0,6,0,0,33,36,9,14,1,4
com.crowdcompass.appyTZxdZNsk1,android-release-v4.1.1,com.crowdcompass.appyTZxdZNsk1,21,15,0,0,0,0,0,0,1,0,6,0,0,49,44,11,19,1,3
com.dali.Datanet0009,1.0,com.dali.Datanet0009,,8,0,0,0,0,0,0,0,0,2,0,0,18,4,38,20,0,2
com.DCC.ZGCO.Free,1.0.8000,com.DCC.ZGCO.Free,,9,0,0,0,0,0,0,0,1,2,0,0,137,66,7,19,0,6
com.dealerphone.groupemaurin.opel,2.2,com.dealerphone.groupemaurin.opel,,10,0,0,0,0,0,0,0,0,3,0,0,10,2,28,5,0,1
com.desdepy.radioultra,1.4,com.desdepy.radioultra,,4,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,4
com.dmeautomotive.driverconnect.serramonteford,3.1.3,com.dmeautomotive.driverconnect.serramonteford,21,15,0,0,0,0,0,0,0,0,2,0,0,66,23,6,10,2,12
com.ej.hotelmalaysia,2.0,com.qbiki.seattleclouds,,10,0,0,0,0,0,0,0,4,1,0,0,61,24,33,11,0,11
com.ezjoynetwork.jewelsbirdrescue,1.0.3,com.ezjoynetwork.jewelsbirdrescue,,8,0,0,0,0,0,0,0,0,0,0,0,25,10,5,10,0,4
com.fesdra.logoquiz.ussport,1.0.3.9,com.fesdra.logoquiz.ussport,,7,0,0,0,0,0,0,0,0,0,0,0,34,9,0,1,0,0
com.fitnessmobileapps.halifaxyoga,2.8.5,com.fitnessmobileapps.fma,21,10,0,0,0,0,0,0,0,0,1,0,0,77,14,8,10,0,12
com.futurenet.futurefolio.foliolauncher,1.0.6533,com.futurenet.futurefolio.foliolauncher,,14,0,0,0,0,0,0,0,0,0,0,0,14,9,6,1,0,0
com.gannett.local.library.news.tennessean,2.5,com.gannett.local.library.news.tennessean,21,14,0,0,0,0,0,0,0,1,3,0,0,67,18,9,11,0,14
com.goodbarber.lourdesfr,1.5,com.goodbarber.lourdesfr,23,15,0,0,0,0,0,0,1,0,0,0,0,155,84,5,17,0,3
com.gpsmycity.android.u37,7,com.gpsmycity.android.u37,,14,0,0,0,0,0,0,1,0,2,0,0,32,10,10,4,3,0
com.guidebook.apps.MyFoothill.android,1.1,com.guidebook.apps.MyFoothill.android,,9,0,0,0,0,0,0,0,0,1,0,0,31,11,9,24,0,4
com.hellotalk,1.8.2,com.hellotalk,21,14,0,0,0,0,0,0,0,1,2,0,0,89,64,84,30,0,5
com.hiddengem.bottlecrash,1.4,com.hiddengem.bottlecrash,,10,0,0,0,0,0,0,0,0,1,0,0,31,8,6,6,0,1
com.honeywell.android.lyric,1.1.1.1,com.honeywell.android.arena,,10,0,0,0,0,0,0,0,8,2,0,0,13,12,6,7,0,2
com.hsvcountdownplus,2.2,com.hsvcountdownplus,,9,0,0,0,0,0,0,0,1,0,0,0,25,2,6,6,0,1
com.iacm.foodsafety,1.02,com.iacm.foodsafety,,8,0,0,0,0,0,0,0,0,1,0,0,19,2,6,14,0,0
com.ianodasoft.adonaibible,1.38,com.ianodasoft.adonaibible,22,4,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0
com.iboomobile.fgc,4.1,com.iboomobile.fgc,,9,0,0,0,0,0,0,0,0,1,0,0,11,21,8,14,0,0
com.ingridho.bpmmetronome,1.1,com.ingridho.bpmmetronome,,7,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
com.instantencore.gcamobile_5124662,1.51.00,com.instantencore.gcamobile_5124662,,10,0,0,0,0,0,0,0,0,2,0,0,64,16,6,12,0,20
com.intel.iso.pa.amsg,2015.01.29-5.5.5S,com.intel.iso.pa.amsg,,14,0,0,0,0,0,0,0,0,2,0,0,82,14,261,16,0,27
com.jappsrl.mvdental,1.2,com.jappsrl.mvdental,,11,0,0,0,0,0,0,0,0,1,0,0,13,2,6,3,0,2
com.jb.gokeyboard.theme.tmenbracecars,3.5,com.jb.gokeyboard.theme.tmenbracecars,18,9,0,0,0,0,0,0,0,0,2,0,0,54,15,9,21,0,22
com.jb.gokeyboard.theme.tmepinkmonsterkeyboard,3.5,com.jb.gokeyboard.theme.tmepinkmonsterkeyboard,18,9,0,0,0,0,0,0,0,0,2,0,0,54,15,9,21,0,22
com.jb.gokeyboard.theme.twkeypadskincolors,3.2,com.jb.gokeyboard.theme.twkeypadskincolors,18,9,0,0,0,0,0,0,0,0,2,0,0,54,15,9,21,0,22
com.jb.gokeyboard.theme.twneoncolorkeyboard,3.5,com.jb.gokeyboard.theme.twneoncolorkeyboard,18,9,0,0,0,0,0,0,0,0,2,0,0,54,15,9,21,0,22
com.joshua.jptt,2.21.3,com.joshua.jptt,23,10,0,0,0,0,0,0,2,0,1,0,0,134,68,4,15,1,6
com.jshipp.podcastplayerfull,2.0,com.jshipp.podcastplayerfull,,3,0,0,0,0,0,0,0,0,0,0,0,3,2,6,0,0,0
com.justcoffeeshop1989.justcoffeeshop1989,1.0,com.justcoffeeshop1989.justcoffeeshop1989,,8,0,0,0,0,0,0,0,0,1,0,0,3,0,7,0,0,0
com.juventus.juventuscam,1.2.0,com.juventus.juventuscam,22,14,0,0,0,0,0,0,0,0,1,0,0,23,7,6,2,0,9
com.jwright.twentyfourtyeight,2.1,com.jwright.twentyfourtyeight,,9,0,0,0,0,0,0,0,0,0,0,0,22,4,0,6,0,1
com.kauf.jewelsblast,3.0,com.kauf.jewelsblast,,6,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0
com.koushikdutta.cast,1.1.8.2,com.koushikdutta.cast,21,14,0,0,0,0,0,0,0,0,0,0,0,88,34,6,10,0,12
com.learnnammaz,2.0,com.learnnammaz,,8,0,0,0,0,0,0,0,0,0,0,0,25,4,0,6,0,1
com.legacy3.citywarehouse,1.2,com.legacy3.citywarehouse,,8,0,0,0,0,0,0,0,0,1,0,0,7,0,6,5,0,0
com.magzter.yemekzevki,3.0,com.magzter.yemekzevki,,8,0,0,0,0,0,0,0,0,0,0,0,18,6,14,18,0,0
com.mapleapps.igotmyapp.reggaejam,1.1.11,com.mapleapps.igotmyapp.reggaejam,,8,0,0,0,0,0,0,0,0,1,0,0,9,12,6,0,0,0
com.mathias.android.acast,3.5.0,com.mathias.android.acast,,3,0,0,0,0,0,0,0,1,3,0,0,2,5,2,1,0,0
com.metago.astro,astro-play-4.6.0.3.vc636,com.metago.astro,21,9,0,0,0,0,0,0,2,0,0,0,0,47,20,6,7,0,5
com.microimage.hirufm,1.7,com.microimage.hirufm,,10,0,0,0,0,0,0,0,0,0,0,0,35,6,10,10,0,10
com.mistudio.smartassistant.l03,2.32.1,com.mistudio.smartassistant.l03,19,9,0,0,0,0,0,0,1,1,6,0,0,140,165,6,13,0,32
com.mobileapploader.aid218472,218472,com.mobileapploader.aid218472,,8,0,0,0,0,0,0,0,0,1,0,0,21,6,0,0,0,1
com.mobileroadie.app_45396,5.1.301,com.mobileroadie.app_45396,,9,0,0,0,0,0,0,0,0,2,0,0,345,57,27,13,0,2
com.mobinov.taxija.customer,3.3.1,com.mobinov.taxija.customer,21,9,0,0,0,0,0,0,0,0,1,0,0,50,12,7,10,3,12
com.monsters.university.two,1.0,com.qbiki.seattleclouds,,8,0,0,0,0,0,0,0,0,3,0,0,20,20,31,9,0,5
com.mp.buggyparking,1.0,com.mp.buggyparking,,9,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0
com.n7mobile.simpleupnpplayer,1.0.15,com.n7mobile.simpleupnpplayer,,9,0,0,0,0,0,0,0,0,1,0,0,81,42,8,10,0,10
com.nexstreaming.app.bach,1.2.6,com.nexstreaming.app.bach,,10,0,0,0,0,0,0,0,0,0,0,0,204,2,2,0,0,0
com.nextix.jumpsite.redcross,1.0.2,com.nextix.jumpsite.redcross,,8,0,0,0,0,0,0,0,0,1,0,0,15,3,6,0,0,0
com.nobexinc.wls_10592270.rc,3.5.5,com.nobexinc.wls_10592270.rc,,9,0,0,0,0,0,0,0,0,1,0,0,58,17,6,12,0,11
com.octave,3.6.2-5+deb7u1-any-2,com.octave,15,4,0,0,0,0,0,0,0,0,1,0,0,3,5,2,2,0,0
com.omnomcom.ROPBPaid,3.1.0,com.omnomcom.ROPBPaid,,5,0,0,0,0,0,0,0,0,0,0,0,9,0,11,14,0,0
com.oszkar,2.1.3,com.oszkar,19,9,0,0,0,0,0,0,0,0,0,0,0,913,10,6,10,0,12
com.outdu.dwAppWrapper,4.0.4839.39,com.outdu.dwAppWrapper,,9,0,0,0,0,0,0,6,0,0,0,0,14,5,6,6,0,1
com.pak5games.truck,1,com.pak5games.truck,,9,0,0,0,0,0,0,0,0,0,0,0,41,8,10,22,0,18
com.partyinbeijing.app,1.3.3,com.partyinbeijing.app,,8,0,0,0,0,0,0,1,0,2,0,0,45,6,6,9,0,2
com.PhysicalApps.PopFun,1.0,com.PhysicalApps.PopFun,,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
com.psl.hm.app,3.0,com.psl.hm.app,19,14,0,0,0,0,0,0,0,0,1,0,0,54,14,29,15,0,16
com.purpleberry.staticwall.love.g01,1.13.3,com.purpleberry.staticwall.love.g01,,9,0,0,0,0,0,0,1,1,0,0,0,32,8,4,5,0,1
com.qscend.report2gov.alexconnect,1.1.2,com.qscend.report2gov.alexconnect,,8,0,0,0,0,0,0,0,0,1,0,0,8,1,3,4,0,0
com.reef.moulin,1.1,com.reef.moulin,,8,0,0,0,0,0,0,0,0,1,0,0,6,1,3,5,0,4
